record_id,student_id,academic_year,level,term,record_date,academic_scores
1,S001,2022/2023,7,Q1,2022-10-31,"{""pendidikan_agama"": 100, ""pendidikan_pancasila"": 67, ""bahasa_indonesia"": 61, ""matematika"": 77, ""bahasa_inggris"": 75, ""fisika"": 74, ""kimia"": 68, ""biologi"": 66, ""sosiologi"": 94, ""ekonomi"": 65, ""geografi"": 97, ""pjok"": 87, ""informatika"": 62, ""seni_dan_prakarya"": 61}"
2,S001,2022/2023,7,Q2,2023-01-31,"{""pendidikan_agama"": 65, ""pendidikan_pancasila"": 73, ""bahasa_indonesia"": 74, ""matematika"": 92, ""bahasa_inggris"": 98, ""fisika"": 61, ""kimia"": 95, ""biologi"": 72, ""sosiologi"": 94, ""ekonomi"": 86, ""geografi"": 74, ""pjok"": 88, ""informatika"": 97, ""seni_dan_prakarya"": 77}"
3,S001,2022/2023,7,Q3,2023-04-30,"{""pendidikan_agama"": 60, ""pendidikan_pancasila"": 70, ""bahasa_indonesia"": 87, ""matematika"": 81, ""bahasa_inggris"": 77, ""fisika"": 69, ""kimia"": 73, ""biologi"": 81, ""sosiologi"": 66, ""ekonomi"": 65, ""geografi"": 84, ""pjok"": 66, ""informatika"": 82, ""seni_dan_prakarya"": 82}"
4,S001,2022/2023,7,Q4,2023-07-31,"{""pendidikan_agama"": 98, ""pendidikan_pancasila"": 76, ""bahasa_indonesia"": 62, ""matematika"": 89, ""bahasa_inggris"": 94, ""fisika"": 67, ""kimia"": 84, ""biologi"": 65, ""sosiologi"": 95, ""ekonomi"": 78, ""geografi"": 100, ""pjok"": 99, ""informatika"": 83, ""seni_dan_prakarya"": 96}"
5,S001,2023/2024,8,Q1,2023-10-31,"{""pendidikan_agama"": 72, ""pendidikan_pancasila"": 64, ""bahasa_indonesia"": 62, ""matematika"": 74, ""bahasa_inggris"": 78, ""fisika"": 65, ""kimia"": 74, ""biologi"": 66, ""sosiologi"": 84, ""ekonomi"": 77, ""geografi"": 89, ""pjok"": 100, ""informatika"": 83, ""seni_dan_prakarya"": 70}"
6,S001,2023/2024,8,Q2,2024-01-31,"{""pendidikan_agama"": 83, ""pendidikan_pancasila"": 82, ""bahasa_indonesia"": 73, ""matematika"": 77, ""bahasa_inggris"": 64, ""fisika"": 98, ""kimia"": 100, ""biologi"": 70, ""sosiologi"": 94, ""ekonomi"": 75, ""geografi"": 70, ""pjok"": 89, ""informatika"": 84, ""seni_dan_prakarya"": 77}"
7,S001,2023/2024,8,Q3,2024-04-30,"{""pendidikan_agama"": 100, ""pendidikan_pancasila"": 95, ""bahasa_indonesia"": 74, ""matematika"": 80, ""bahasa_inggris"": 63, ""fisika"": 74, ""kimia"": 62, ""biologi"": 80, ""sosiologi"": 85, ""ekonomi"": 77, ""geografi"": 64, ""pjok"": 73, ""informatika"": 96, ""seni_dan_prakarya"": 80}"
8,S001,2023/2024,8,Q4,2024-07-31,"{""pendidikan_agama"": 73, ""pendidikan_pancasila"": 91, ""bahasa_indonesia"": 85, ""matematika"": 89, ""bahasa_inggris"": 69, ""fisika"": 76, ""kimia"": 68, ""biologi"": 75, ""sosiologi"": 95, ""ekonomi"": 94, ""geografi"": 76, ""pjok"": 97, ""informatika"": 87, ""seni_dan_prakarya"": 97}"
9,S001,2024/2025,9,Q1,2024-10-31,"{""pendidikan_agama"": 85, ""pendidikan_pancasila"": 83, ""bahasa_indonesia"": 74, ""matematika"": 68, ""bahasa_inggris"": 92, ""fisika"": 91, ""kimia"": 65, ""biologi"": 63, ""sosiologi"": 67, ""ekonomi"": 69, ""geografi"": 100, ""pjok"": 70, ""informatika"": 87, ""seni_dan_prakarya"": 98}"
10,S001,2024/2025,9,Q2,2025-01-31,"{""pendidikan_agama"": 64, ""pendidikan_pancasila"": 84, ""bahasa_indonesia"": 84, ""matematika"": 98, ""bahasa_inggris"": 89, ""fisika"": 93, ""kimia"": 76, ""biologi"": 95, ""sosiologi"": 60, ""ekonomi"": 67, ""geografi"": 94, ""pjok"": 77, ""informatika"": 81, ""seni_dan_prakarya"": 67}"
